top - 16:47:42 up  7:10,  3 users,  load average: 0.00, 0.00, 0.00
Tasks: 196 total,   1 running, 195 sleeping,   0 stopped,   0 zombie
%Cpu(s):  9.1 us,  9.1 sy,  0.0 ni, 81.8 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st 
MiB Mem :   3915.9 total,    323.7 free,   1755.4 used,   2117.5 buff/cache     
MiB Swap:   3742.0 total,   3742.0 free,      0.0 used.   2160.5 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   9860 yahagi    20   0   24224   5492   3444 R  16.7   0.1   0:00.04 top -b +
      1 root      20   0   23200  14196   9460 S   0.0   0.4   0:07.75 /sbin/i+
      2 root      20   0       0      0      0 S   0.0   0.0   0:00.01 [kthrea+
      3 root      20   0       0      0      0 S   0.0   0.0   0:00.00 [pool_w+
      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 [kworke+
      5 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 [kworke+
      6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 [kworke+
      7 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 [kworke+
     12 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 [kworke+
     13 root      20   0       0      0      0 I   0.0   0.0   0:00.00 [rcu_ta+
     14 root      20   0       0      0      0 I   0.0   0.0   0:00.00 [rcu_ta+
     15 root      20   0       0      0      0 I   0.0   0.0   0:00.00 [rcu_ta+
     16 root      20   0       0      0      0 S   0.0   0.0   0:01.43 [ksofti+
     17 root      20   0       0      0      0 I   0.0   0.0   0:03.31 [rcu_pr+
     18 root      20   0       0      0      0 S   0.0   0.0   0:00.00 [rcu_ex+
     19 root      20   0       0      0      0 S   0.0   0.0   0:00.00 [rcu_ex+
     20 root      rt   0       0      0      0 S   0.0   0.0   0:00.14 [migrat+
     21 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 [idle_i+
     22 root      20   0       0      0      0 S   0.0   0.0   0:00.00 [cpuhp/+
     23 root      20   0       0      0      0 S   0.0   0.0   0:00.00 [kdevtm+
     24 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 [kworke+
     25 root      20   0       0      0      0 S   0.0   0.0   0:00.00 [kaudit+
     26 root      20   0       0      0      0 S   0.0   0.0   0:00.02 [khungt+
     28 root      20   0       0      0      0 S   0.0   0.0   0:00.00 [oom_re+
     30 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 [kworke+
     31 root      20   0       0      0      0 S   0.0   0.0   0:01.63 [kcompa+
     32 root      25   5       0      0      0 S   0.0   0.0   0:00.00 [ksmd]
     33 root      39  19       0      0      0 S   0.0   0.0   0:00.00 [khugep+
     34 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 [kworke+
     35 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 [kworke+
     36 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 [kworke+
     37 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 [irq/9-+
     38 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 [kworke+
     39 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 [kworke+
     40 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 [kworke+
     41 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 [kworke+
     42 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 [kworke+
     43 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 [kworke+
     44 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 [watchd+
     46 root      20   0       0      0      0 S   0.0   0.0   0:00.00 [kswapd+
     47 root      20   0       0      0      0 S   0.0   0.0   0:00.00 [ecrypt+
     48 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 [kworke+
     49 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 [kworke+
     50 root      20   0       0      0      0 S   0.0   0.0   0:00.01 [scsi_e+
     51 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 [kworke+
     52 root      20   0       0      0      0 S   0.0   0.0   0:00.00 [scsi_e+
     53 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 [kworke+
     56 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 [kworke+
     57 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 [kworke+
     65 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 [kworke+
     67 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 [kworke+
     80 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 [kworke+
    127 root      20   0       0      0      0 S   0.0   0.0   0:00.00 [scsi_e+
    128 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 [kworke+
    140 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 [kworke+
    201 root      20   0       0      0      0 S   0.0   0.0   0:01.88 [jbd2/s+
    202 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 [kworke+
    251 root      19  -1   67196  20816  19280 S   0.0   0.5   0:01.61 /usr/li+
    322 root      20   0   30528   8624   4912 S   0.0   0.2   0:00.79 /usr/li+
    395 systemd+  20   0   17556   7640   6744 S   0.0   0.2   0:10.88 /usr/li+
    398 systemd+  20   0   21680  13248  10816 S   0.0   0.3   0:01.01 /usr/li+
    401 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 [psimon]
    409 systemd+  20   0   91044   7840   6944 S   0.0   0.2   0:00.33 /usr/li+
    566 avahi     20   0    8668   4472   4088 S   0.0   0.1   0:00.19 avahi-d+
    567 message+  20   0   12068   7048   4616 S   0.0   0.2   0:03.76 @dbus-d+
    572 gnome-r+  20   0  512808  16412  13980 S   0.0   0.4   0:00.12 /usr/li+
    580 polkitd   20   0  400836  12492   8600 S   0.0   0.3   0:01.90 /usr/li+
    583 root      20   0  323360   7660   7020 S   0.0   0.2   0:00.15 /usr/li+
    600 root      20   0 1848388  39060  25240 S   0.0   1.0   0:10.61 /usr/li+
    601 root      20   0  323304   8128   7232 S   0.0   0.2   0:00.99 /usr/li+
    602 root      20   0   19148   2820   2692 S   0.0   0.1   0:00.08 /usr/sb+
    603 root      20   0  319576   6532   6020 S   0.0   0.2   0:00.10 /usr/li+
    616 root      20   0   18120   8876   7852 S   0.0   0.2   0:00.57 /usr/li+
    618 root      20   0  469368  14064  11504 S   0.0   0.4   0:00.70 /usr/li+
    643 avahi     20   0    8480   1500   1232 S   0.0   0.0   0:00.00 avahi-d+
    644 root      20   0  346712  19508  16692 S   0.0   0.5   0:01.55 /usr/sb+
    645 root      20   0   17380   6372   5604 S   0.0   0.2   0:00.20 /usr/sb+
    660 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 [kworke+
    683 syslog    20   0  222564   5844   4692 S   0.0   0.1   0:00.44 /usr/sb+
    738 root      20   0  392104  12848  10800 S   0.0   0.3   0:00.34 /usr/sb+
    955 root      20   0   47668  11644   9852 S   0.0   0.3   0:00.08 /usr/sb+
    963 root      20   0  121972  23016  13672 S   0.0   0.6   0:00.29 /usr/bi+
    975 root      20   0   12020   7992   6968 S   0.0   0.2   0:00.04 sshd: /+
    980 cups-br+  20   0  268344  20024  17080 S   0.0   0.5   0:00.14 /usr/sb+
    981 kernoops  20   0   12744   2460   2060 S   0.0   0.1   0:00.02 /usr/sb+
    986 kernoops  20   0   12744   2328   1908 S   0.0   0.1   0:00.02 /usr/sb+
    988 root      20   0  324816   9612   8588 S   0.0   0.2   0:00.11 /usr/sb+
    999 root      20   0  399732  10952   9544 S   0.0   0.3   0:00.12 gdm-ses+
   1008 yahagi    20   0   21128  12732   9668 S   0.0   0.3   0:06.39 /usr/li+
   1009 yahagi    20   0   21456   3772   1968 S   0.0   0.1   0:00.00 (sd-pam)
   1023 yahagi     9 -11  123372  12788   8564 S   0.0   0.3   0:00.29 /usr/bi+
   1024 yahagi    20   0  107460   5844   5076 S   0.0   0.1   0:00.05 /usr/bi+
   1027 yahagi     9 -11  416872  18996  14004 S   0.0   0.5   0:00.42 /usr/bi+
   1028 yahagi     9 -11  120500  13200  10512 S   0.0   0.3   0:00.12 /usr/bi+
   1029 yahagi    20   0  326436  10608   9584 S   0.0   0.3   0:00.42 /usr/bi+
   1044 yahagi    20   0   10992   6836   4660 S   0.0   0.2   0:06.55 /usr/bi+
   1062 rtkit     21   1   22940   3432   3176 S   0.0   0.1   0:00.48 /usr/li+
   1064 yahagi    20   0  639792   8180   7412 S   0.0   0.2   0:00.38 /usr/li+
   1071 yahagi    20   0  245700   6360   5848 S   0.0   0.2   0:00.02 /usr/li+
   1076 yahagi    20   0  308240  16844  14924 S   0.0   0.4   0:00.12 /usr/li+
   1097 yahagi    20   0  319320   6456   5944 S   0.0   0.2   0:00.04 /usr/li+
   1139 root      20   0    2704   1940   1940 S   0.0   0.0   0:00.00 fusermo+
   1152 yahagi    20   0  162652   6872   6232 S   0.0   0.2   0:00.01 /usr/li+
   1153 yahagi    20   0  101272   5668   5284 S   0.0   0.1   0:00.02 /usr/li+
   1161 yahagi    20   0  324316   8356   7460 S   0.0   0.2   0:00.39 /usr/li+
   1172 yahagi    20   0  469724   7352   6584 S   0.0   0.2   0:00.01 /usr/li+
   1178 yahagi    20   0  530860  19060  16372 S   0.0   0.5   0:00.51 /usr/li+
   1210 yahagi    20   0 3450500 371120 145488 S   0.0   9.3   3:02.38 /usr/bi+
   1211 yahagi    20   0  382936   7824   7056 S   0.0   0.2   0:00.07 /usr/li+
   1224 yahagi    20   0    9612   5172   4660 S   0.0   0.1   0:00.31 /usr/bi+
   1275 yahagi    20   0  236068   7408   6768 S   0.0   0.2   0:00.07 /usr/li+
   1276 colord    20   0  330072  14724   9988 S   0.0   0.4   0:00.65 /usr/li+
   1291 yahagi    20   0   39136  11828  10420 S   0.0   0.3   0:00.24 /snap/s+
   1337 yahagi    20   0  429692  31040  22316 S   0.0   0.8   0:01.10 /snap/s+
   1359 yahagi    20   0  654732  17684  15124 S   0.0   0.4   0:00.28 /usr/li+
   1366 yahagi    20   0  991896  89456  73584 S   0.0   2.2   0:00.52 /usr/li+
   1379 yahagi    20   0  556604  24396  20812 S   0.0   0.6   0:00.14 /usr/li+
   1382 root      20   0  326608   9372   7836 S   0.0   0.2   0:00.39 /usr/li+
   1385 yahagi    20   0  704256  24856  21528 S   0.0   0.6   0:00.37 /usr/li+
   1394 yahagi    20   0 2537572  27060  22304 S   0.0   0.7   0:00.34 /usr/bi+
   1410 yahagi    20   0  398864  12464   7200 S   0.0   0.3   0:02.13 /usr/bi+
   1414 yahagi    20   0  393600   6956   6444 S   0.0   0.2   0:00.06 /usr/li+
   1415 yahagi    20   0  423412  21244  18300 S   0.0   0.5   0:00.61 /usr/li+
   1417 yahagi    20   0  441756  12520  11240 S   0.0   0.3   0:00.07 /usr/li+
   1419 yahagi    20   0  468956   8100   7332 S   0.0   0.2   0:00.83 /usr/li+
   1420 yahagi    20   0  325420   9472   8448 S   0.0   0.2   0:00.07 /usr/li+
   1421 yahagi    20   0  422268  20740  17796 S   0.0   0.5   0:00.53 /usr/li+
   1422 yahagi    20   0  604540  26196  22356 S   0.0   0.7   0:00.60 /usr/li+
   1423 yahagi    20   0  607744  25056  21088 S   0.0   0.6   0:00.69 /usr/li+
   1426 yahagi    20   0  333512  11608  10200 S   0.0   0.3   0:00.07 /usr/li+
   1427 yahagi    20   0  541168   7164   6524 S   0.0   0.2   0:00.07 /usr/li+
   1429 yahagi    20   0  319444   6408   5896 S   0.0   0.2   0:00.06 /usr/li+
